,Route,Latitude,Longitude,Year,taxon_per_m3,log2_m3
0,ABAB,-37.91,135.33,2020,3333.3,11.7
1,ABAB,-37.91,135.33,2020,666.7,9.4
2,ABAB,-37.91,135.33,2020,666.7,9.4
3,ABAB,-37.88,134.91,2020,6666.7,12.7
4,ABAB,-37.88,134.91,2020,3333.3,11.7
5,ABAB,-37.88,134.91,2020,3333.3,11.7
6,ABAB,-37.88,134.91,2020,666.7,9.4
7,ABAB,-37.88,134.91,2020,3333.3,11.7
8,ABAB,-37.88,134.91,2020,666.7,9.4
9,ABAB,-37.88,134.91,2020,10000.0,13.3
10,ABAB,-37.88,134.91,2020,3333.3,11.7
11,ABAB,-37.84,134.49,2020,3333.3,11.7
12,ABAB,-37.84,134.49,2020,3333.3,11.7
13,ABAB,-37.84,134.49,2020,3333.3,11.7
14,ABAB,-37.84,134.49,2020,6666.7,12.7
15,ABAB,-37.84,134.49,2020,666.7,9.4
16,ABAB,-37.8,134.08,2020,3333.3,11.7
17,ABAB,-37.8,134.08,2020,3333.3,11.7
18,ABAB,-37.8,134.08,2020,3333.3,11.7
19,ABAB,-37.8,134.08,2020,3333.3,11.7
20,ABAB,-37.8,134.08,2020,3333.3,11.7
21,ABAB,-37.8,134.08,2020,3333.3,11.7
22,ABAB,-37.8,134.08,2020,3333.3,11.7
23,ABAB,-37.8,134.08,2020,40000.0,15.3
24,ABAB,-37.8,134.08,2020,666.7,9.4
25,ABAB,-37.8,134.08,2020,666.7,9.4
26,ABAB,-37.8,134.08,2020,3333.3,11.7
27,ABAB,-37.8,134.08,2020,3333.3,11.7
28,ABAB,-37.8,134.08,2020,3333.3,11.7
29,ABAB,-37.76,133.66,2020,3333.3,11.7
30,ABAB,-37.76,133.66,2020,6666.7,12.7
31,ABAB,-37.71,133.24,2020,666.7,9.4
32,ABAB,-37.71,133.24,2020,10000.0,13.3
33,ABAB,-37.71,133.24,2020,3333.3,11.7
34,ABAB,-37.71,133.24,2020,666.7,9.4
35,ABAB,-37.71,133.24,2020,666.7,9.4
36,ABAB,-37.67,132.83,2020,666.7,9.4
37,ABAB,-37.67,132.83,2020,666.7,9.4
38,ABAB,-37.67,132.83,2020,666.7,9.4
39,ABAB,-37.67,132.83,2020,3333.3,11.7
