,Year,taxon_group,taxon_per_m3,coordinates
0,2007,COPEPOD,2.0,"[-60.1, 89.61]"
1,2007,COPEPOD,16.67,"[-60.1, 89.61]"
2,2007,NON-COPEPOD,0.67,"[-60.1, 89.61]"
3,2007,COPEPOD,3.33,"[-60.1, 89.61]"
4,2007,COPEPOD,2.67,"[-60.1, 89.61]"
5,2007,NON-COPEPOD,0.67,"[-60.1, 89.61]"
6,2007,COPEPOD,5.33,"[-60.06, 89.77]"
7,2007,COPEPOD,6.67,"[-60.06, 89.77]"
8,2007,COPEPOD,32.67,"[-60.06, 89.77]"
9,2007,COPEPOD,4.0,"[-60.06, 89.77]"
10,2007,COPEPOD,1.33,"[-60.03, 89.92]"
11,2007,COPEPOD,0.67,"[-60.03, 89.92]"
12,2007,COPEPOD,4.0,"[-60.03, 89.92]"
13,2007,COPEPOD,30.67,"[-60.03, 89.92]"
14,2007,COPEPOD,8.67,"[-60.03, 89.92]"
15,2007,COPEPOD,2.0,"[-60.03, 89.92]"
16,2007,NON-COPEPOD,0.67,"[-60.03, 89.92]"
17,2007,COPEPOD,8.67,"[-60.0, 90.08]"
18,2007,COPEPOD,15.33,"[-60.0, 90.08]"
19,2007,COPEPOD,36.67,"[-60.0, 90.08]"
20,2007,COPEPOD,0.67,"[-60.0, 90.08]"
21,2007,NON-COPEPOD,0.67,"[-60.0, 90.08]"
22,2007,COPEPOD,2.0,"[-60.0, 90.08]"
23,2007,COPEPOD,2.0,"[-59.97, 90.23]"
24,2007,COPEPOD,4.0,"[-59.97, 90.23]"
25,2007,NON-COPEPOD,0.67,"[-59.97, 90.23]"
26,2007,COPEPOD,26.0,"[-59.97, 90.23]"
27,2007,COPEPOD,0.67,"[-59.97, 90.23]"
28,2007,COPEPOD,60.67,"[-59.97, 90.23]"
29,2007,COPEPOD,0.67,"[-59.94, 90.38]"
30,2007,COPEPOD,66.67,"[-59.94, 90.38]"
31,2007,COPEPOD,15.33,"[-59.94, 90.38]"
32,2007,COPEPOD,10.0,"[-59.94, 90.38]"
33,2007,NON-COPEPOD,0.67,"[-59.94, 90.38]"
34,2007,NON-COPEPOD,0.67,"[-59.9, 90.53]"
35,2007,COPEPOD,89.33,"[-59.9, 90.53]"
36,2007,COPEPOD,2.67,"[-59.9, 90.53]"
37,2007,COPEPOD,0.67,"[-59.9, 90.53]"
38,2007,COPEPOD,18.0,"[-59.9, 90.53]"
39,2007,COPEPOD,6.0,"[-59.9, 90.53]"
40,2007,COPEPOD,130.0,"[-59.87, 90.68]"
41,2007,COPEPOD,6.67,"[-59.87, 90.68]"
42,2007,NON-COPEPOD,0.67,"[-59.87, 90.68]"
43,2007,COPEPOD,22.67,"[-59.87, 90.68]"
44,2007,COPEPOD,1.33,"[-59.87, 90.68]"
45,2007,COPEPOD,14.0,"[-59.83, 90.84]"
46,2007,COPEPOD,0.67,"[-59.83, 90.84]"
47,2007,COPEPOD,1.33,"[-59.83, 90.84]"
48,2007,COPEPOD,6.0,"[-59.83, 90.84]"
49,2007,NON-COPEPOD,0.67,"[-59.83, 90.84]"
50,2007,COPEPOD,84.0,"[-59.83, 90.84]"
51,2007,NON-COPEPOD,0.67,"[-59.8, 90.99]"
52,2007,COPEPOD,18.0,"[-59.8, 90.99]"
53,2007,NON-COPEPOD,0.67,"[-59.8, 90.99]"
54,2007,COPEPOD,0.67,"[-59.8, 90.99]"
55,2007,COPEPOD,142.67,"[-59.8, 90.99]"
56,2007,COPEPOD,10.0,"[-59.8, 90.99]"
57,2007,NON-COPEPOD,0.67,"[-59.76, 91.13]"
58,2007,COPEPOD,2.0,"[-59.76, 91.13]"
59,2007,NON-COPEPOD,0.67,"[-59.76, 91.13]"
60,2007,COPEPOD,15.33,"[-59.76, 91.13]"
